author,exclusive,ingredients,master,num_tried,picture,rating,title
嘟嘟鱼的私房菜,True,"西兰花,鸡胸肉,橄榄油,盐,大蒜,酱油,圣女果",False,117,False,7.4,减肥食谱：香煎鸡胸+蒜蓉西兰花
云端下厨房,False,"鸡胸肉,青椒,干淀粉,酱油,盐,蒜,姜,胡椒粉",False,117,True,7.5,青椒鸡胸
Sunny_Kreglo,True,"鸡胸,苹果醋,橄榄油,蒜,洋葱,苹果,白葡萄酒",True,117,False,8.3,【健康三餐】苹果迷迭香烤鸡胸
悠悠小雪_Annie,True,"生抽,孜然粉,油辣椒,五香粉,盐,料酒",False,116,True,7.9,五香孜然烤鸡胸肉丝干（减肥零食）
dpyoung,False,"菠萝,鸡胸肉",True,112,False,7.6,菠萝炒鸡胸肉
吃货遇上美食,False,"盐,黑胡椒碎,西红柿",False,109,False,7.4,好吃的减肥餐之一（鸡胸脯烤番茄）
敖羽星,True,"鸡胸肉,生抽,蚝油,橄榄油,蒜头,食用油",True,110,True,8.6,煎/烤美味鸡胸肉
噜啦啦小能手,False,"鸡胸肉,盐,料酒,西兰花,胡萝卜,鸡蛋,橄榄油",False,107,True,7.7,黑椒鸡胸肉
Sunny_Kreglo,False,"小葱,酱油,橄榄油",True,107,False,8.7,【健康三餐】核桃甜椒炒鸡胸
司寇小颖,False,"鸡胸肉,生抽,耗油,番茄酱,蜂蜜,海盐,黑胡椒碎",False,105,True,7.4,无油香烤鸡胸肉
向山,False,"鸡胸肉,彩椒,蒜,料酒,淀粉,五香粉,盐,油,生抽,蕃茄酱",False,101,True,7.3,彩椒炒鸡胸
亲爱的九妹,False,,False,104,True,7.9,香煎鲜嫩多汁的黑椒鸡胸肉
Sunny_Kreglo,True,"鸡胸,姜,料酒,酱油,白胡椒粉,黑胡椒粉,盐,红薯,银耳,葡萄干,香油",True,103,False,8.6,【健康三餐】红薯银耳鸡胸煮
灿灿闪着光,True,"鸡胸肉,黑胡椒汁,小黄瓜,生菜",True,101,False,8.7,黑椒鸡胸贝果三明治
生活如此,False,"鸡胸,红椒,葱花,盐,味精,料酒,淀粉",False,100,True,8.5,鲜溜鸡胸
Sunny_Kreglo,True,"鸡胸,紫洋葱,蒜,盐,柠檬",True,151,True,7.8,【健康三餐】百里香南瓜烤鸡胸
Kanaho,False,"鸡胸肉,甜玉米,青豆",False,151,True,7.4,微波炉鸡胸肉方块
瓜_瓜,True,"红薯,南瓜,菠菜,鸡胸,白胡椒粉,洋葱,蒜,姜,咖喱粉,番茄,辣椒粉,姜黄粉,孜然粉,椰奶,盐,青柠",False,145,False,8.6,秋日南瓜红薯鸡胸咖喱
多M食堂-小静,False,,False,145,True,7.4,孜然鸡胸肉，低脂低卡好吃无压力。
胖兔子丶,False,"鸡胸肉,鸡蛋,黑胡椒,海盐,橄榄油,酱油,番茄酱",False,143,True,7.8,上校烤鸡胸
