author,exclusive,ingredients,master,num_tried,picture,rating,title
小羽私厨,True,"牛腩,西红柿,黄酒,生抽,老抽,黄油,香叶,葱段,姜片,盐",True,449,True,8.4,给我一份西红柿炖牛腩，我能吃掉三碗米饭。
食尚小米,False,"西红柿,牛腩,花椒,大料,小茴香,葱,姜,蒜,香芹,盐,白糖,胡椒粉,绍酒",False,437,True,8.2,西红柿炖牛腩
堂妈小厨,False,,True,419,True,8.5,堂妈的土豆炖牛腩
yanyanfoodtube,False,"牛腩,番茄,洋葱,香叶,桂皮,大蒜,高汤,盐,料酒,植物油",True,384,True,8.5,番茄炖牛腩 Chinese Beef And Tomato Stew
小潺zh,False,"牛腩,白萝卜,生姜,花椒,盐",False,374,False,7.3,白萝卜牛腩汤
DaisyDannnnnnnn,False,"牛腩,西红柿,姜,洋葱,蒜粒,八角,干辣椒,料酒,生抽,蚝油,白糖",True,365,True,8.2,番茄土豆炖牛腩（高压锅版）
悟饭,False,"西红柿,牛腩,葱,姜,冰糖,料酒,生抽",False,350,False,8.2,西红柿牛腩
L-in,True,"番茄,葱姜蒜,干辣椒,冰糖,香叶,八角,生抽,老抽,料酒,香菜",True,349,True,8.5,番茄炖带骨牛腩—Staub珐琅铸铁锅
胡元骏,False,"白萝卜,牛腩,姜,大葱,青蒜,柱候酱,南乳,花生酱,蚝油,盐,老抽,鸡粉,花雕酒,冰糖,香叶,肉桂,八角",False,344,False,8.0,萝卜牛腩煲
宅与路上,False,"牛腩,葱,姜,蒜,桂皮,草果,八角,干山楂,干辣椒,豆瓣酱,冰糖,生抽,老抽,料酒,香醋",True,339,True,8.2,香辣牛腩煲
冇伱灬冇我,True,"牛腩,土豆,八角,桂皮,姜片,冰糖,生抽,盐,白胡椒粉,葱花",True,315,True,8.4,土豆烧牛腩
呤儿,True,"牛腩,白萝卜,青蒜,盐,白胡椒粉",True,323,False,8.0,萝卜牛腩煲
titi的懒人厨房,False,"面条,牛腩,葱花,酱油,鸡粉,白胡椒粉,盐,米酒,五香粉,茴香,小茴香,桂皮,八角,麻油,姜片,蒜头,干红辣椒,冰糖,番茄糊,豆瓣酱,辣酱,水",False,317,True,8.1,红烧牛腩面
小虹菇凉,False,"萝卜,八角,花椒,桂皮,陈皮,蒜瓣,柱候酱",False,302,True,8.0,萝卜焖牛腩
misu_kome,True,"牛腩,土豆,胡萝卜,西红柿,洋葱,鸡腿菇,米饭,黑芝麻,黑胡椒粉,盐,料酒,生抽,老抽,咖喱块",False,297,True,8.4,牛腩咖喱饭
叶蘑蘑,False,"牛腩,萝卜,八角,花椒,桂皮,红干辣椒,大蒜,料酒,酱油,耗油,香叶,冰糖",False,276,True,7.9,萝卜牛腩煲（无柱候酱无高压锅无沙煲版）
冇伱灬冇我,True,"牛腩,土豆,胡萝卜,洋葱,口蘑,大米,油,冰糖,白糖,白胡椒粉,生抽,陈醋,盐,啤酒,葱花",True,258,True,8.2,土豆牛腩焖饭
莫莉花花,False,"牛腩,萝卜,白酒,酱油,盐,柱候酱,八角,香叶,姜,蒜,花生油,冰糖",False,251,False,8.0,广式萝卜牛腩煲
sissi,True,,True,237,True,8.0,汤浓肉嫩的番茄牛腩，牛腩软烂秘法
ポ工丂剋ヵ,False,,False,11348,True,8.4,西红柿牛腩
muffin甜,False,"牛腩,胡萝卜,土豆,西红柿,干辣椒,葱,姜,蒜,香叶,冰糖,食用油,生抽,番茄酱,盐",False,6464,True,8.6,一个话唠包教包会的香浓红烩牛腩
安小厨的大胃,False,"西红柿,土豆,洋葱,香葱,冰糖,盐,白胡椒粉,生抽,油",False,5264,True,8.2,番茄土豆炖牛腩
我脑公全世界最帅,True,"牛腩,西红柿,土豆,胡萝卜,姜,洋葱,大葱,盐,冰糖,生抽,料酒,红烧酱油",True,4294,True,8.5,番茄土豆炖牛腩
月亮晶晶,False,"牛腩,胡萝卜,土豆,洋葱,咖喱块,椰浆,葱,姜,料酒",True,4320,False,8.2,咖喱牛腩
宅与路上,False,,True,3675,True,8.3,胡萝卜土豆烧牛腩
老丁的私房菜,True,"牛腩肉,番茄,葱姜",True,3304,True,8.3,老丁的私房菜-番茄牛腩煲
小辞xiaoci,False,"牛腩,土豆,姜片,八角,香叶,花椒,干辣椒,老抽,料酒,盐,糖",False,2360,True,7.9,红烧牛腩
冇伱灬冇我,True,"牛腩,西红柿,冰糖,桂皮,八角,香叶,生姜,洋葱,陈醋,啤酒,油,盐,生抽,鸡精",True,1787,True,8.1,番茄牛腩
金山茶,False,"牛腩,西红柿,土豆,料酒,葱段,姜片,花椒粉,盐",False,1581,False,8.1,西红柿牛腩土豆
狗尾巴草,False,"牛腩,番茄,洋葱,姜,番茄酱",False,1232,False,8.2,番茄牛腩煲
日食记,False,"番茄,土豆,牛腩,京葱,姜蒜,八角,香叶,生抽,白胡椒粉,番茄酱,冰糖,盐",True,951,True,8.5,【番茄土豆炖牛腩】
苗兒的厨房,True,"土豆,葱,姜,蒜,咖喱块,盐,料酒",False,886,True,8.1,零失败土豆咖喱牛肉~咖喱牛腩~
偏离.于墨尔本.,False,"番茄,牛腩,土豆,番茄酱,洋葱,小葱,盐,鸡粉,生抽,黑胡椒粉",True,761,True,8.0,番茄土豆炖牛腩
寻味志,False,"牛腩,西红柿,八角,桂皮,姜,花椒,老抽,盐,味精,干辣椒",False,750,True,8.2,西红柿炖牛腩
Bruce__yuan,True,"牛腩,土豆,葱姜,调味料",False,670,True,7.9,红烧土豆牛腩
小辞xiaoci,False,"牛腩,胡萝卜,土豆,洋葱,椰浆,香叶,八角,花椒,姜",False,663,True,8.4,冬日暖身咖喱牛腩锅
美食情书,False,"牛腩,番茄,胡萝卜,土豆,葱,姜,料酒,酱油,盐",False,618,True,7.9,番茄牛腩
月亮晶晶,False,"牛腩,土豆,胡萝卜,洋葱,八角,大葱,姜,料酒,老抽,白糖,盐",True,607,True,8.3,红烧土豆牛腩
apple爱自己,False,"牛腩,土豆,番茄,胡萝卜,姜,大葱,盐,生抽,料酒",False,581,False,7.8,土豆番茄牛腩汤
璐稔,False,"米,鸡蛋,生菜,小葱,姜,蚝油,盐,糖,料酒,鸡精",True,236,False,7.7,窝蛋生滚牛肉粥
猫大王,True,"土豆,胡萝卜,洋葱,姜,四季豆,生抽,料酒,白糖,味淋,清水,盐",True,233,True,8.7,日式土豆炖牛肉（肉じゃが）
坐隐（三什）,False,"牛肉,米饭,咖喱块,胡萝卜,土豆",False,231,False,7.6,咖喱牛肉饭
莫言catlam,False,"番茄,牛肉,鸡蛋,油,盐,姜,白糖,葱,蒜",False,230,True,7.1,番茄牛肉
月牙w,True,,False,231,True,8.1,Mr董的招牌咖喱牛肉饭
雯婷茜子,False,"牛肉,蒜头,姜片,干辣椒,黑胡椒粉,玉米淀粉,孜然粉",False,229,False,8.3,孜然牙签牛肉
圆滚滚的桃子,False,,False,230,True,8.3,番茄炖牛肉
希洛大大大大人,True,"牛肉,干红辣椒,姜,蒜,盐,生粉,生抽,老抽,白胡椒粉,芝麻油,白酒,鸡精",True,229,True,8.7,十八秒生爆牛肉
游向蓝天的鱼,False,"牛肉,米饭,鸡蛋,生抽,植物油,蚝油,糖,花雕,麻油,鸡精",False,229,True,7.9,牛肉煲仔饭
