author,exclusive,ingredients,master,num_tried,picture,rating,title
肥喵食记,False,"玉米粒,青豆,姜,料酒,盐,糖,洋葱碎,玉米油",False,154,True,7.5,虾仁炒玉米青豆
宝儿喵,True,"西兰花,大蒜,生抽,鸡精,淀粉",True,154,False,7.7,西兰花炒鲜虾仁
~~Sweetie~~,False,"黄瓜,鸡蛋,水发木耳,葱,盐",False,154,False,7.6,黄瓜虾仁炒蛋
美食作家王刚,False,鸡蛋,True,149,True,8.2,厨师长教你：“虾仁滑蛋”的家常做法，充满嫩滑饱满的口感
Songyt,False,"菠菜,虾仁,大蒜,鸡蛋,香菇,生抽,盐,白糖",False,152,True,7.9,番茄鸡蛋虾仁面
李菇凉,False,"油,盐,黄酒,虾仁,黄瓜,鸡蛋",False,151,False,7.2,黄瓜炒虾仁
子瑜妈妈,False,"明虾,鸡蛋",True,151,False,8.0,虾肉小馄饨
懒饭App,False,"嫩豆腐,鸡蛋,虾仁,水,生抽,水,香油",True,151,True,7.9,虾仁豆腐蒸水蛋
小葡萄_,True,"虾仁,玉米粒,生粉",False,148,True,7.7,玉米虾仁
ELLEN私厨,False,"日本豆腐,虾仁,葱,姜,蒜,油,盐,鸡精",True,146,True,8.3,【虾仁日本豆腐煲】超鲜！
开心果子365,False,"蛋黄,嫩豆腐,虾仁,葱,胡椒粉",True,141,True,7.9,咸蛋黄虾仁豆腐
萌小右,False,"虾仁,鸡蛋,小葱,盐,料酒",False,143,False,7.4,水晶虾仁炒蛋
心-美-食,True,"高粉,低粉,水,油,糖,酵母,盐,芝士",True,141,True,7.9,芝心鸡肉虾仁披萨
居易云夕,False,,False,141,True,7.4,营养健康【三色炒虾仁】鲜香美味不打折!
小花牛,False,"鸡蛋,虾仁,青椒,葱花,盐,料酒,生抽",False,137,False,7.7,虾仁炒鸡蛋青椒
堂妈小厨,False,"西葫芦,大虾,葱,姜,生抽,食盐,香油,花生油,鸡精,饺子皮",True,136,True,8.7,西葫虾仁鲜肉水饺
蔻蔻的甜与蜜,False,"韭菜,姜,料酒,盐,鸡精",False,136,False,7.0,韭菜炒虾仁
懂_味,True,"鸡蛋,黄瓜,面粉,生姜,橄榄油,料酒,酱油",False,133,True,8.5,黄瓜虾仁饺子
Ananbeila,True,"苦苣,虾仁,圣女果,洋葱,芦笋,牛油果,柠檬,黑胡椒,盐,油醋汁",False,110,True,8.5,藜麦虾仁轻食沙拉
tiffanyxoxo,False,"虾仁,玉米粒,青豆,土豆,牛奶,盐,白胡椒,黑胡椒,料酒",False,134,False,7.7,减肥餐：土豆虾仁沙拉
莳一,False,"虾仁,冬瓜,香葱,料酒,胡椒粉,盐,淀粉,酱油",False,180,False,8.1,冬瓜烧虾仁
斯佳丽,False,"虾仁,鸡蛋,生粉,小葱,姜末,料酒,油,盐,胡椒粉",False,178,True,7.7,滑蛋虾仁
千寻树,False,"鸡蛋,面粉,盐,料酒,白胡椒粉",True,177,True,8.7,软炸虾仁 简单又好吃的软嫩虾仁做法
美食台foodvideo,False,"虾仁,鸡蛋,糖,生粉,油,小葱,盐",True,171,True,7.7,滑蛋虾仁｜美食台
